sample: 100%|██████████| 3000/3000 [1:23:46<00:00,  1.68s/it, 1023 steps of size 2.07e-03. acc. prob=0.83]

                                    mean       std    median      5.0%     95.0%     n_eff     r_hat
transcriptome/perturb/beta[12]      0.95      0.16      0.93      0.69      1.20    223.76      1.01
transcriptome/perturb/beta[13]     -1.11      0.93     -0.92     -2.41      0.10    447.90      1.00
transcriptome/perturb/beta[14]     -1.38      1.06     -1.21     -2.86      0.11    404.14      1.01
transcriptome/perturb/beta[15]      3.27      1.02      3.07      2.00      4.51     76.66      1.02
transcriptome/perturb/beta[16]     -1.14      0.93     -0.97     -2.50      0.10    318.74      1.00
transcriptome/perturb/beta[17]      2.23      0.85      2.04      1.31      3.02    164.85      1.00
transcriptome/perturb/beta[18]     -1.06      0.88     -0.86     -2.34      0.10    319.69      1.00
transcriptome/perturb/beta[19]      2.55      0.39      2.53      2.00      3.21    402.54      1.00
transcriptome/perturb/beta[20]     -1.41      1.13     -1.20     -3.05      0.10    297.33      1.00
transcriptome/perturb/beta[21]     -1.30      1.07     -1.07     -2.89      0.10    250.06      1.00
transcriptome/perturb/beta[22]      6.83      0.97      6.75      5.29      8.41    373.80      1.00
transcriptome/perturb/beta[23]     -1.27      1.02     -1.08     -2.75      0.10    396.28      1.00
transcriptome/perturb/beta[24]     -1.26      1.02     -1.05     -2.77      0.10    427.05      1.00
transcriptome/perturb/beta[25]      5.23      0.92      5.12      3.74      6.67    216.13      1.01
transcriptome/perturb/beta[26]     -1.23      1.02     -1.00     -2.75      0.10    427.95      1.00
transcriptome/perturb/beta[27]     -1.31      1.10     -1.06     -2.94      0.12    412.75      1.00
transcriptome/perturb/beta[28]      1.84      0.28      1.82      1.41      2.31    311.38      1.00
transcriptome/perturb/beta[29]      2.64      0.41      2.60      2.01      3.31    254.46      1.02
       transcriptome/switch[0]      0.54      0.29      0.56      0.13      1.00    746.15      1.00
       transcriptome/switch[1]      0.49      0.29      0.48      0.05      0.93    823.39      1.00
       transcriptome/switch[2]      0.52      0.29      0.52      0.11      1.00    833.81      1.00
       transcriptome/switch[3]      0.50      0.29      0.50      0.03      0.92    670.05      1.00
       transcriptome/switch[4]      0.49      0.26      0.47      0.04      0.91    388.26      1.00
       transcriptome/switch[5]      0.51      0.30      0.53      0.09      0.99    544.34      1.00
       transcriptome/switch[6]      0.48      0.29      0.47      0.00      0.89    905.58      1.00
       transcriptome/switch[7]      0.45      0.26      0.42      0.00      0.86    405.39      1.00
       transcriptome/switch[8]      0.50      0.29      0.49      0.01      0.90    908.78      1.00
       transcriptome/switch[9]      0.48      0.30      0.45      0.10      1.00    340.40      1.01
      transcriptome/switch[10]      0.26      0.04      0.26      0.20      0.31    460.43      1.00
      transcriptome/switch[11]      0.11      0.01      0.11      0.09      0.13    399.98      1.01
      transcriptome/switch[12]      0.19      0.03      0.20      0.14      0.23    117.52      1.01
      transcriptome/switch[13]      0.50      0.28      0.51      0.04      0.92    685.02      1.00
      transcriptome/switch[14]      0.53      0.30      0.55      0.10      1.00    807.30      1.00
      transcriptome/switch[15]      0.12      0.03      0.13      0.07      0.15    187.90      1.00
      transcriptome/switch[16]      0.50      0.29      0.50      0.10      1.00    713.78      1.00
      transcriptome/switch[17]      0.08      0.01      0.08      0.06      0.10    359.58      1.00
      transcriptome/switch[18]      0.49      0.29      0.48      0.04      0.93    958.95      1.00
      transcriptome/switch[19]      0.16      0.01      0.16      0.14      0.18    513.02      1.01
